보고년도,업체명,시군구명,순환골재규격코드,순환골재규격,생산량_톤,판매량_톤,재활용용도,보관량_톤
2008,(*****린환경,경상남도 함안군,RA01,5mm,0,124,성토용/복토용,105.59
2008,(*****린환경,경상남도 함안군,RA01,5mm,95,12.5,성토용/복토용,188.09
2008,(*****린환경,경상남도 함안군,RA01,5mm,37.5,168.7,성토용/복토용,56.88
2008,(*****린환경,경상남도 함안군,RA01,5mm,123.5,73.49,성토용/복토용,106.9
2008,(*****린환경,경상남도 함안군,RA01,5mm,150,145.12,성토용/복토용,111.78
2008,(*****린환경,경상남도 함안군,RA01,5mm,187.5,95.24,성토용/복토용,204.04
2008,(*****린환경,경상남도 함안군,RA01,5mm,780.5,246.8,성토용/복토용,737.74
2008,(*****린환경,경상남도 함안군,RA01,5mm,0,211.52,성토용/복토용,526.22
2008,(*****린환경,경상남도 함안군,RA01,5mm,187.5,236.31,성토용/복토용,477.41
2008,(*****린환경,경상남도 함안군,RA01,5mm,225,10.21,성토용/복토용,692.2
2008,(*****린환경,경상남도 함안군,RA01,5mm,0,321.68,성토용/복토용,370.52
2008,(*****린환경,경상남도 함안군,RA01,5mm,0,213.02,성토용/복토용,157.5
2008,(*****린환경,경상남도 함안군,RA01,5mm,160,112.33,성토용/복토용,205.17
2008,(*****린환경,경상남도 함안군,RA01,5mm,0,96.24,성토용/복토용,108.93
2008,(*****린환경,경상남도 함안군,RA01,5mm,180,150.45,성토용/복토용,138.48
2008,(*****린환경,경상남도 함안군,RA01,5mm,112.5,102.38,성토용/복토용,148.6
2008,(*****린환경,경상남도 함안군,RA01,5mm,187.5,168.71,성토용/복토용,167.39
2008,(*****린환경,경상남도 함안군,RA01,5mm,532.5,264.71,성토용/복토용,435.18
2008,(*****린환경,경상남도 함안군,RA01,5mm,187.5,231.67,성토용/복토용,391.01
2008,(*****린환경,경상남도 함안군,RA01,5mm,165,20.15,성토용/복토용,535.86
2008,(*****린환경,경상남도 함안군,RA01,5mm,206,21.34,성토용/복토용,720.52
2008,(*****린환경,경상남도 함안군,RA01,5mm,45,236.31,성토용/복토용,529.21
2008,(*****린환경,경상남도 함안군,RA01,5mm,97.5,150.24,성토용/복토용,476.47
2008,(*****린환경,경상남도 함안군,RA01,5mm,0,187.59,성토용/복토용,288.88
2008,(*****린환경,경상남도 함안군,RA01,5mm,150,150.24,성토용/복토용,288.64
2008,(*****린환경,경상남도 함안군,RA01,5mm,90,215.68,성토용/복토용,162.96
2008,(*****린환경,경상남도 함안군,RA01,5mm,0,23.5,성토용/복토용,139.46
2008,(*****린환경,경상남도 함안군,RA01,5mm,217.5,12.68,성토용/복토용,344.28
2008,(*****린환경,경상남도 함안군,RA01,5mm,60,52.36,성토용/복토용,351.92
2008,(*****린환경,경상남도 함안군,RA01,5mm,0,10.23,성토용/복토용,341.69
2008,(*****린환경,경상남도 함안군,RA01,5mm,105,145.12,성토용/복토용,301.57
2008,(*****린환경,경상남도 함안군,RA01,5mm,142,124,성토용/복토용,319.57
2008,(*****린환경,경상남도 함안군,RA01,5mm,140,60,성토용/복토용,399.57
2008,(*****린환경,경상남도 함안군,RA01,5mm,75,102.02,성토용/복토용,372.55
2008,(*****린환경,경상남도 함안군,RA02,6~25mm,180,220,성토용/복토용,5132.55
2008,(*****린환경,경상남도 함안군,RA02,6~25mm,453,341,성토용/복토용,5244.55
2008,(*****린환경,경상남도 함안군,RA02,6~25mm,300,200,성토용/복토용,5344.55
2008,(*****린환경,경상남도 함안군,RA02,6~25mm,0,440,성토용/복토용,4904.55
2008,(*****린환경,경상남도 함안군,RA02,6~25mm,1845,220,성토용/복토용,6529.55
2008,(*****린환경,경상남도 함안군,RA02,6~25mm,300,100,성토용/복토용,6729.55
2008,(*****린환경,경상남도 함안군,RA02,6~25mm,90,235,성토용/복토용,6584.55
2008,(*****린환경,경상남도 함안군,RA02,6~25mm,540,1000,성토용/복토용,6124.55
2008,(*****린환경,경상남도 함안군,RA02,6~25mm,2917.5,440,성토용/복토용,8602.05
2008,(*****린환경,경상남도 함안군,RA02,6~25mm,0,150,성토용/복토용,8452.05
